Direction,Score,MaxTile,MoveTime(ms),EmptyTiles,Timestamp,SourceFile
Up,0,2,568,14,2025-05-21T10:23:13.835Z,full_game_data (30) (1).csv
Right,0,2,209,13,2025-05-21T10:23:14.045Z,full_game_data (30) (1).csv
Up,4,4,39,13,2025-05-21T10:23:14.083Z,full_game_data (30) (1).csv
Left,4,4,267,12,2025-05-21T10:23:14.350Z,full_game_data (30) (1).csv
Right,8,4,174,12,2025-05-21T10:23:14.525Z,full_game_data (30) (1).csv
Up,8,4,44,11,2025-05-21T10:23:14.568Z,full_game_data (30) (1).csv
Left,8,4,136,10,2025-05-21T10:23:14.704Z,full_game_data (30) (1).csv
Up,8,4,182,9,2025-05-21T10:23:14.886Z,full_game_data (30) (1).csv
Right,12,4,127,9,2025-05-21T10:23:15.013Z,full_game_data (30) (1).csv
Left,24,8,301,10,2025-05-21T10:23:15.314Z,full_game_data (30) (1).csv
Up,32,8,2,10,2025-05-21T10:23:15.316Z,full_game_data (30) (1).csv
Down,32,8,61,9,2025-05-21T10:23:15.377Z,full_game_data (30) (1).csv
Left,36,8,323,9,2025-05-21T10:23:15.700Z,full_game_data (30) (1).csv
Right,56,16,51,10,2025-05-21T10:23:15.751Z,full_game_data (30) (1).csv
Up,68,16,40,11,2025-05-21T10:23:15.791Z,full_game_data (30) (1).csv
Up,68,16,219,10,2025-05-21T10:23:16.010Z,full_game_data (30) (1).csv
Up,68,16,632,9,2025-05-21T10:23:16.642Z,full_game_data (30) (1).csv
Down,72,16,58,9,2025-05-21T10:23:16.700Z,full_game_data (30) (1).csv
Down,72,16,216,8,2025-05-21T10:23:16.916Z,full_game_data (30) (1).csv
Up,76,16,226,8,2025-05-21T10:23:17.142Z,full_game_data (30) (1).csv
Up,76,16,248,7,2025-05-21T10:23:17.390Z,full_game_data (30) (1).csv
Down,76,16,389,6,2025-05-21T10:23:17.779Z,full_game_data (30) (1).csv
Up,76,16,12,5,2025-05-21T10:23:17.791Z,full_game_data (30) (1).csv
Left,76,16,242,4,2025-05-21T10:23:18.033Z,full_game_data (30) (1).csv
Down,96,16,105,7,2025-05-21T10:23:18.138Z,full_game_data (30) (1).csv
Right,104,16,524,7,2025-05-21T10:23:18.662Z,full_game_data (30) (1).csv
Left,120,16,3,7,2025-05-21T10:23:18.665Z,full_game_data (30) (1).csv
Up,120,16,5,6,2025-05-21T10:23:18.670Z,full_game_data (30) (1).csv
Down,124,16,301,6,2025-05-21T10:23:18.971Z,full_game_data (30) (1).csv
Right,124,16,21,5,2025-05-21T10:23:18.993Z,full_game_data (30) (1).csv
Up,136,16,187,6,2025-05-21T10:23:19.179Z,full_game_data (30) (1).csv
Down,152,16,63,6,2025-05-21T10:23:19.242Z,full_game_data (30) (1).csv
Right,188,32,73,7,2025-05-21T10:23:19.315Z,full_game_data (30) (1).csv
Right,188,32,156,6,2025-05-21T10:23:19.471Z,full_game_data (30) (1).csv
Up,192,32,237,6,2025-05-21T10:23:19.708Z,full_game_data (30) (1).csv
Left,204,32,64,7,2025-05-21T10:23:19.772Z,full_game_data (30) (1).csv
Down,212,32,236,7,2025-05-21T10:23:20.008Z,full_game_data (30) (1).csv
Right,212,32,43,6,2025-05-21T10:23:20.051Z,full_game_data (30) (1).csv
Down,220,32,167,7,2025-05-21T10:23:20.218Z,full_game_data (30) (1).csv
Right,220,32,12,6,2025-05-21T10:23:20.230Z,full_game_data (30) (1).csv
Up,228,32,294,6,2025-05-21T10:23:20.524Z,full_game_data (30) (1).csv
Right,248,32,8,7,2025-05-21T10:23:20.532Z,full_game_data (30) (1).csv
Up,248,32,256,6,2025-05-21T10:23:20.788Z,full_game_data (30) (1).csv
Right,252,32,19,6,2025-05-21T10:23:20.807Z,full_game_data (30) (1).csv
Left,264,32,49,7,2025-05-21T10:23:20.856Z,full_game_data (30) (1).csv
Up,280,32,205,7,2025-05-21T10:23:21.061Z,full_game_data (30) (1).csv
Left,316,32,566,8,2025-05-21T10:23:21.627Z,full_game_data (30) (1).csv
Up,316,32,8,7,2025-05-21T10:23:21.635Z,full_game_data (30) (1).csv
Right,328,32,2,8,2025-05-21T10:23:21.637Z,full_game_data (30) (1).csv
Down,328,32,4,7,2025-05-21T10:23:21.641Z,full_game_data (30) (1).csv
Left,332,32,203,7,2025-05-21T10:23:21.844Z,full_game_data (30) (1).csv
Left,332,32,73,6,2025-05-21T10:23:21.917Z,full_game_data (30) (1).csv
Right,336,32,143,6,2025-05-21T10:23:22.060Z,full_game_data (30) (1).csv
Up,336,32,40,5,2025-05-21T10:23:22.100Z,full_game_data (30) (1).csv
Down,336,32,309,4,2025-05-21T10:23:22.409Z,full_game_data (30) (1).csv
Left,336,32,174,3,2025-05-21T10:23:22.583Z,full_game_data (30) (1).csv
Up,344,32,90,4,2025-05-21T10:23:22.673Z,full_game_data (30) (1).csv
Down,352,32,324,4,2025-05-21T10:23:22.997Z,full_game_data (30) (1).csv
Right,356,32,11,4,2025-05-21T10:23:23.009Z,full_game_data (30) (1).csv
Left,368,32,400,5,2025-05-21T10:23:23.408Z,full_game_data (30) (1).csv
